date,actual,predicted,digit_hits,position_hits,exact_match
2011-03-01,656037,116026,3,2,False
2011-03-16,593331,092282,1,1,False
2011-04-01,814931,988484,3,0,False
2011-04-16,825988,820923,3,3,False
2011-05-02,054136,219908,2,0,False
2011-05-16,406417,428822,1,1,False
2011-06-01,562370,845523,3,0,False
2011-06-16,351276,663933,2,0,False
2011-07-01,622953,835752,3,1,False
2011-07-16,116556,696737,2,1,False
2011-08-01,218756,960608,2,0,False
2011-08-16,536960,083701,2,0,False
2011-09-01,724533,276582,3,1,False
2011-09-16,731198,752779,2,1,False
2011-10-01,511052,629679,1,0,False
2011-10-16,955756,708411,1,0,False
2011-11-01,805540,164172,1,0,False
2011-11-16,997777,900530,1,1,False
2011-12-01,408147,352128,2,1,False
2011-12-16,884178,068941,3,0,False
2011-12-30,526402,784398,1,0,False
2012-01-16,451445,331147,2,2,False
2012-02-01,320605,052317,4,0,False
2012-02-16,648684,959236,1,0,False
2012-03-01,222518,308871,2,0,False
2012-03-16,607064,924530,2,0,False
2012-04-01,257562,154802,2,2,False
2012-04-16,583470,815531,3,0,False
2012-05-02,889501,567907,3,1,False
2012-05-16,814418,851159,3,1,False
2012-06-01,882727,000608,1,0,False
2012-06-16,159373,546597,3,0,False
2012-07-01,915900,460170,3,1,False
2012-07-16,904050,326933,1,0,False
2012-08-01,895590,654811,2,0,False
2012-08-16,683877,996879,3,2,False
2012-09-01,329997,835677,2,1,False
2012-09-16,540143,436227,2,0,False
2012-10-01,124025,378532,2,0,False
2012-10-16,281343,553302,3,1,False
2012-11-01,524694,809801,1,0,False
2012-11-16,639500,879888,1,1,False
2012-12-01,110443,033718,3,0,False
2012-12-16,529524,580766,1,1,False
2012-12-30,302358,569753,2,1,False
2013-01-16,820981,312634,2,0,False
2013-02-01,565566,478214,0,0,False
2013-02-16,368257,414456,2,1,False
2013-03-01,976241,385616,2,0,False
2013-03-16,968433,152990,1,0,False
2013-04-01,571688,063311,2,0,False
2013-04-16,843846,891757,1,1,False
2013-05-02,603458,297640,3,0,False
2013-05-16,687125,910767,3,0,False
2013-06-01,935489,935851,4,3,False
2013-06-16,289673,067567,2,0,False
2013-07-01,646905,371315,1,1,False
2013-07-16,566996,081893,1,1,False
2013-08-01,356435,951910,1,1,False
2013-08-16,321327,170778,2,0,False
2013-09-01,548123,383606,2,0,False
2013-09-16,562684,022292,1,1,False
2013-10-01,647882,577500,1,1,False
2013-10-16,963289,680969,4,1,False
2013-11-01,739804,004137,4,0,False
2013-11-16,806925,468208,4,0,False
2013-12-01,168795,313984,3,0,False
2013-12-16,341767,243480,2,1,False
2013-12-30,561072,994577,2,1,False
2014-01-16,306902,027310,4,0,False
2014-02-01,180149,788587,1,1,False
2014-02-16,384245,549605,2,1,False
2014-03-01,906318,107554,2,1,False
2014-03-16,531404,961499,2,2,False
2014-04-01,028866,413118,1,0,False
2014-04-16,153406,642830,4,0,False
2014-05-02,103297,710467,3,1,False
2014-05-16,087523,000289,3,1,False
2014-06-01,781198,909237,2,0,False
2014-06-16,673920,471217,2,1,False
2014-07-01,378477,490490,1,1,False
2014-07-16,468728,662153,2,1,False
2014-08-01,766391,408015,1,0,False
2014-08-16,662842,779361,1,0,False
2014-09-01,856763,291645,2,0,False
2014-09-16,772269,195224,3,1,False
2014-10-01,375615,484805,1,1,False
2014-10-16,656409,404135,3,0,False
2014-11-01,206608,283175,2,1,False
2014-11-16,479804,985036,3,0,False
2014-12-01,480449,880671,2,2,False
2014-12-16,948354,093527,3,0,False
2014-12-30,461704,844950,3,0,False
2015-01-16,244351,395765,2,0,False
2015-02-01,155537,526481,2,0,False
2015-02-16,001864,098444,3,2,False
2015-03-01,240237,262699,2,1,False
2015-03-16,048151,583677,2,0,False
2015-04-01,570444,940346,3,2,False
2015-04-16,506260,341535,1,0,False
2015-05-02,543466,483723,2,1,False
2015-05-16,011421,630939,1,0,False
2015-06-02,388811,278013,3,2,False
2015-06-16,644742,683005,1,1,False
2015-07-01,759049,260642,2,1,False
2015-07-16,121507,947911,3,0,False
2015-08-01,518677,541887,4,2,False
2015-08-16,033363,448093,2,1,False
2015-09-01,021094,361343,2,1,False
2015-09-16,743148,275233,2,0,False
2015-10-01,594825,085098,3,0,False
2015-10-16,968630,886760,4,1,False
2015-11-01,361211,054830,1,0,False
2015-11-16,795283,834564,3,0,False
2015-12-01,915350,131248,2,0,False
2015-12-17,930255,273269,3,1,False
2015-12-30,008217,492110,3,1,False
2016-01-17,304371,103772,4,2,False
2016-02-01,927800,177306,2,2,False
2016-02-16,356364,941088,1,0,False
2016-03-01,439686,469955,3,2,False
2016-03-16,134918,112950,3,2,False
2016-04-01,066720,584372,2,0,False
2016-04-16,221609,792831,3,0,False
2016-05-02,399459,695253,3,2,False
2016-05-16,141737,507031,3,1,False
2016-06-01,511825,509440,1,1,False
2016-06-16,073816,419279,2,0,False
2016-07-01,082460,200235,3,0,False
2016-07-16,449764,227364,3,2,False
2016-08-01,272932,060217,2,0,False
2016-08-16,254004,056725,3,1,False
2016-09-01,638684,678275,2,2,False
2016-09-16,240650,682656,3,2,False
2016-10-01,887102,687400,3,3,False
2016-10-16,571947,077874,3,1,False
2016-11-01,785438,923154,3,0,False
2016-11-16,858383,734921,1,0,False
2016-12-01,086069,188001,3,2,False
2016-12-16,435286,771863,3,0,False
2016-12-30,377712,307865,2,2,False
2017-01-17,145157,721879,2,0,False
2017-02-01,054672,838654,3,1,False
2017-02-16,229116,598382,2,0,False
2017-03-01,978453,859817,4,0,False
2017-03-16,273863,074488,2,1,False
2017-04-01,392785,537965,4,1,False
2017-04-16,816729,210097,4,1,False
2017-05-02,008656,290379,1,0,False
2017-05-16,454891,387724,2,0,False
2017-06-01,053630,916383,3,0,False
2017-06-16,943142,285953,3,0,False
2017-07-01,112360,968227,2,0,False
2017-07-16,820327,396299,2,0,False
2017-08-01,756519,472053,2,0,False
2017-08-16,715431,014680,2,1,False
2017-09-01,143224,043063,2,2,False
2017-09-16,170143,909880,1,0,False
2017-10-01,880714,784323,3,1,False
2017-10-16,413494,089271,2,0,False
2017-11-01,533726,992970,2,0,False
2017-11-16,292391,372089,3,1,False
2017-12-01,451005,537232,1,0,False
