draw_date,first_prize,front3_1,front3_2,back3_1,back3_2,last2,digit1,digit2,digit3,digit4,digit5,digit6
2026-07-01,751495,001,980,304,531,62,7,5,1,4,9,5
2026-06-16,287184,758,434,007,721,48,2,8,7,1,8,4
2026-06-01,173770,848,415,410,938,95,1,7,3,7,7,0
2026-05-16,107387,298,091,602,716,08,1,0,7,3,8,7
2026-05-02,536077,267,318,065,153,43,5,3,6,0,7,7
2026-04-16,309612,355,108,868,424,77,3,0,9,6,1,2
2026-04-01,292514,406,113,851,098,47,2,9,2,5,1,4
2026-03-16,833009,510,983,439,954,64,8,3,3,0,0,9
2026-03-01,820866,479,054,068,837,06,8,2,0,8,6,6
2026-02-16,340563,527,241,578,169,07,3,4,0,5,6,3
2026-02-01,174629,917,195,408,041,48,1,7,4,6,2,9
2026-01-17,878972,299,815,662,363,02,8,7,8,9,7,2
2026-01-16,878972,299,815,662,363,02,8,7,8,9,7,2
2026-01-02,837706,694,347,288,765,16,8,3,7,7,0,6
2025-12-16,763895,431,176,014,449,52,7,6,3,8,9,5
2025-12-01,461252,655,389,137,995,22,4,6,1,2,5,2
2025-11-16,458145,602,242,389,239,37,4,5,8,1,4,5
2025-11-01,345898,449,328,111,690,87,3,4,5,8,9,8
2025-10-16,059696,955,531,889,476,61,0,5,9,6,9,6
2025-10-01,876978,843,532,280,605,77,8,7,6,9,7,8
2025-09-16,074646,740,512,308,703,58,0,7,4,6,4,6
2025-09-01,506356,131,012,022,209,31,5,0,6,3,5,6
2025-08-16,994865,602,247,834,989,63,9,9,4,8,6,5
2025-08-01,811852,525,142,891,512,50,8,1,1,8,5,2
2025-07-16,245324,995,171,084,336,26,2,4,5,3,2,4
2025-07-01,949246,680,169,918,261,91,9,4,9,2,4,6
2025-06-16,507392,243,017,299,736,06,5,0,7,3,9,2
2025-06-01,559352,349,134,307,044,20,5,5,9,3,5,2
2025-05-16,251309,109,231,965,631,87,2,5,1,3,0,9
2025-05-02,213388,826,116,167,662,06,2,1,3,3,8,8
2025-04-16,266227,413,254,474,760,85,2,6,6,2,2,7
2025-04-01,669687,635,760,180,666,36,6,6,9,6,8,7
2025-03-16,757563,595,927,457,309,32,7,5,7,5,6,3
2025-03-01,818894,139,530,781,656,54,8,1,8,8,9,4
2025-02-16,847377,268,613,652,001,50,8,4,7,3,7,7
2025-02-01,558700,285,418,824,685,51,5,5,8,7,0,0
2025-01-17,807779,961,699,448,477,23,8,0,7,7,7,9
2025-01-02,730209,446,065,376,297,51,7,3,0,2,0,9
2024-12-16,097863,290,742,881,339,21,0,9,7,8,6,3
2024-12-01,669843,626,559,098,654,61,6,6,9,8,4,3
2024-11-16,187221,036,923,980,547,38,1,8,7,2,2,1
2024-11-01,536044,174,225,063,231,32,5,3,6,0,4,4
2024-10-16,482962,648,561,919,493,00,4,8,2,9,6,2
2024-10-01,718665,053,812,079,566,59,7,1,8,6,6,5
2024-09-16,608662,230,904,008,408,37,6,0,8,6,6,2
2024-09-01,199606,173,220,094,388,94,1,9,9,6,0,6
2024-08-16,095867,334,212,697,728,28,0,9,5,8,6,7
2024-08-01,407041,408,579,622,070,46,4,0,7,0,4,1
2024-07-16,367336,331,011,421,618,21,3,6,7,3,3,6
2024-07-01,434503,839,975,778,647,89,4,3,4,5,0,3
2024-06-16,518504,428,016,447,426,31,5,1,8,5,0,4
2024-06-01,530593,194,364,421,734,42,5,3,0,5,9,3
2024-05-16,205690,885,747,137,070,60,2,0,5,6,9,0
2024-05-02,980116,104,763,833,634,17,9,8,0,1,1,6
2024-04-16,943598,729,727,154,200,79,9,4,3,5,9,8
2024-04-01,803481,122,809,559,947,90,8,0,3,4,8,1
