draw_date,digit1,digit2,digit3,digit4,digit5,digit6,digit_sum,odd_count,even_count,repeat_count,entropy,mirror_score,transition_score,temporal_weight
2026-03-01,8,2,0,8,6,6,30,0,6,2,1.9183,0,3,1.0
2026-02-16,3,4,0,5,6,3,21,3,3,1,2.2516,1,3,0.97434
2026-02-01,1,7,4,6,2,9,29,3,3,0,2.585,0,2,0.94554
2026-01-17,8,7,8,9,7,2,41,3,3,2,1.9183,1,4,0.91759
2026-01-16,8,7,8,9,7,2,41,3,3,2,1.9183,1,4,0.91576
2026-01-02,8,3,7,7,0,6,31,3,3,1,2.2516,1,1,0.89048
2025-12-16,7,6,3,8,9,5,38,4,2,0,2.585,0,3,0.86071
2025-12-01,4,6,1,2,5,2,20,2,4,1,2.2516,0,4,0.83527
2025-11-16,4,5,8,1,4,5,27,3,3,2,1.9183,0,4,0.81058
2025-11-01,3,4,5,8,9,8,37,3,3,1,2.2516,0,5,0.78663
2025-10-16,0,5,9,6,9,6,35,3,3,2,1.9183,0,3,0.76185
2025-10-01,8,7,6,9,7,8,45,3,3,2,1.9183,2,5,0.73934
2025-09-16,0,7,4,6,4,6,27,1,5,2,1.9183,0,4,0.71749
2025-09-01,5,0,6,3,5,6,25,3,3,2,1.9183,0,3,0.69628
2025-08-16,9,9,4,8,6,5,41,3,3,1,2.2516,0,3,0.67435
2025-08-01,8,1,1,8,5,2,25,3,3,2,1.9183,0,3,0.65442
2025-07-16,2,4,5,3,2,4,20,2,4,2,1.9183,0,5,0.63381
2025-07-01,9,4,9,2,4,6,34,2,4,2,1.9183,1,2,0.61508
2025-06-16,5,0,7,3,9,2,26,4,2,0,2.585,0,0,0.5969
2025-06-01,5,5,9,3,5,2,29,5,1,1,1.7925,1,3,0.57926
2025-05-16,2,5,1,3,0,9,20,4,2,0,2.585,0,3,0.56102
2025-05-02,2,1,3,3,8,8,25,3,3,2,1.9183,1,4,0.54553
2025-04-16,2,6,6,2,2,7,25,1,5,2,1.4591,0,2,0.52835
2025-04-01,6,6,9,6,8,7,42,2,4,1,1.7925,0,5,0.51273
2025-03-16,7,5,7,5,6,3,33,5,1,2,1.9183,0,5,0.49659
2025-03-01,8,1,8,8,9,4,38,2,4,1,1.7925,1,2,0.48191
2025-02-16,8,4,7,3,7,7,36,4,2,1,1.7925,0,2,0.46954
2025-02-01,5,5,8,7,0,0,25,3,3,2,1.9183,0,4,0.45566
2025-01-17,8,0,7,7,7,9,38,4,2,1,1.7925,1,3,0.4422
2025-01-02,7,3,0,2,0,9,21,3,3,1,2.2516,0,3,0.42913
2024-12-16,0,9,7,8,6,3,33,3,3,0,2.585,0,4,0.41478
2024-12-01,6,6,9,8,4,3,36,2,4,1,2.2516,0,4,0.40252
2024-11-16,1,8,7,2,2,1,21,3,3,2,1.9183,1,3,0.39063
2024-11-01,5,3,6,0,4,4,22,2,4,1,2.2516,0,3,0.37908
2024-10-16,4,8,2,9,6,2,31,1,5,1,2.2516,0,1,0.36714
2024-10-01,7,1,8,6,6,5,33,3,3,1,2.2516,0,3,0.35629
2024-09-16,6,0,8,6,6,2,28,0,6,1,1.7925,0,2,0.34576
2024-09-01,1,9,9,6,0,6,31,3,3,2,1.9183,0,2,0.33554
2024-08-16,0,9,5,8,6,7,35,3,3,0,2.585,0,3,0.32498
2024-08-01,4,0,7,0,4,1,16,2,4,2,1.9183,0,1,0.31537
2024-07-16,3,6,7,3,3,6,28,4,2,2,1.4591,0,4,0.30544
2024-07-01,4,3,4,5,0,3,19,3,3,2,1.9183,0,4,0.29641
