rank,number,frequency,probability_pct
1,216427,5,0.0050%
2,423337,4,0.0040%
3,503036,4,0.0040%
4,830797,4,0.0040%
5,041954,4,0.0040%
6,351494,4,0.0040%
7,474468,3,0.0030%
8,847962,3,0.0030%
9,771692,3,0.0030%
10,513447,3,0.0030%
11,451306,3,0.0030%
12,264697,3,0.0030%
13,911397,3,0.0030%
14,523343,3,0.0030%
15,918126,3,0.0030%
16,207501,3,0.0030%
17,931606,3,0.0030%
18,340673,3,0.0030%
19,931567,3,0.0030%
20,237602,3,0.0030%
21,847413,3,0.0030%
22,815847,3,0.0030%
23,916532,3,0.0030%
24,999268,3,0.0030%
25,568824,3,0.0030%
26,897612,3,0.0030%
27,389417,3,0.0030%
28,141309,3,0.0030%
29,231333,3,0.0030%
30,581378,3,0.0030%
31,016374,3,0.0030%
32,348688,3,0.0030%
33,371897,3,0.0030%
34,247329,3,0.0030%
35,860727,3,0.0030%
36,551820,3,0.0030%
37,157284,3,0.0030%
38,456825,3,0.0030%
39,052406,3,0.0030%
40,078406,3,0.0030%
41,471701,3,0.0030%
42,935903,3,0.0030%
43,236893,3,0.0030%
44,576403,3,0.0030%
45,977932,3,0.0030%
46,023726,3,0.0030%
47,131107,3,0.0030%
48,033957,3,0.0030%
49,980812,3,0.0030%
50,309552,3,0.0030%
51,446782,3,0.0030%
52,841053,3,0.0030%
53,958300,3,0.0030%
54,981506,3,0.0030%
55,164280,3,0.0030%
56,912328,3,0.0030%
57,586162,3,0.0030%
58,969794,3,0.0030%
59,538787,3,0.0030%
60,905577,3,0.0030%
61,496104,3,0.0030%
62,985904,3,0.0030%
63,081363,3,0.0030%
64,511307,3,0.0030%
65,253944,3,0.0030%
66,028933,3,0.0030%
67,384472,3,0.0030%
68,287465,3,0.0030%
69,139007,3,0.0030%
70,984392,3,0.0030%
71,152207,3,0.0030%
72,554442,3,0.0030%
73,381943,3,0.0030%
74,954911,3,0.0030%
75,267476,3,0.0030%
76,594682,3,0.0030%
77,646917,3,0.0030%
78,533807,3,0.0030%
79,119344,3,0.0030%
80,530865,3,0.0030%
81,214611,3,0.0030%
82,010327,3,0.0030%
83,176704,3,0.0030%
84,080306,3,0.0030%
85,157716,3,0.0030%
86,324462,3,0.0030%
87,332498,3,0.0030%
88,310907,3,0.0030%
89,147685,3,0.0030%
90,911755,3,0.0030%
91,441457,3,0.0030%
92,687377,3,0.0030%
93,004497,3,0.0030%
94,780417,3,0.0030%
95,314882,3,0.0030%
96,810524,3,0.0030%
97,579361,3,0.0030%
98,873377,3,0.0030%
99,064848,3,0.0030%
100,194316,3,0.0030%
